Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.64     58.004     0.381    57.623     0.000        1   Thread#join
  0.10      0.388     0.062     0.000     0.325     7101  *Array#each
  0.05      0.031     0.031     0.000     0.000    10387   Symbol#to_sym
  0.04      0.613     0.023     0.000     0.590     7700  *Class#new
  0.04      0.054     0.023     0.000     0.030     4832   BinData::DSLMixin::DSLParser#option?
  0.04      0.021     0.021     0.000     0.000     3854   Symbol#to_s
  0.03      0.016     0.016     0.000     0.000      426   Module#name
  0.03      0.016     0.016     0.000     0.000     2822   String#gsub
  0.03      0.257     0.016     0.000     0.241      266  *Module#module_eval
  0.03      0.036     0.016     0.000     0.020     2816  *Kernel#dup
  0.03      0.034     0.015     0.000     0.019     3568  *BinData::DSLMixin::DSLParser#endian
  0.02      0.026     0.015     0.000     0.012     2773  *Hash#each
  0.02      0.015     0.015     0.000     0.000    10623   Kernel#nil?
  0.02      0.014     0.014     0.000     0.000     5387   BinData::DSLMixin::DSLParser#parser_abilities
  0.02      0.032     0.014     0.000     0.017     4166   BinData::SanitizedField#name_as_sym
  0.02      0.058     0.014     0.000     0.044     1366   BinData::Registry#underscore_name
  0.02      0.354     0.014     0.000     0.340     1098  *BinData::SanitizedPrototype#initialize
  0.02      1.593     0.013     0.000     1.580      735  *Kernel#require
  0.02      0.032     0.012     0.000     0.020     3172  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.02      0.012     0.012     0.000     0.000     5677   Kernel#hash
  0.02      0.217     0.012     0.000     0.206     1299  *BinData::SanitizedParameters#sanitize!
  0.02      0.021     0.012     0.000     0.010     2967  *Kernel#initialize_dup
  0.02      0.011     0.011     0.000     0.000     2548   Regexp#=~
  0.02      0.058     0.011     0.000     0.047     4280   BinData::DSLMixin::DSLFieldValidator#option?
  0.02      0.011     0.011     0.000     0.000     1484   String#sub
  0.02      0.165     0.011     0.000     0.155     1088   BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.02      0.023     0.011     0.000     0.013     2527  *BinData::DSLMixin#dsl_parser
  0.02      0.011     0.011     0.000     0.000     4539   BasicObject#!
  0.02      0.036     0.011     0.000     0.026     2818  *BinData::DSLMixin::DSLParser#fields
  0.02      0.049     0.011     0.000     0.039     1558   Array#map
  0.02      0.011     0.010     0.000     0.001     9162   Hash#[]
  0.02      0.016     0.010     0.000     0.007     1498  *<Class::BinData::Base>#arg_processor
  0.02      0.010     0.010     0.000     0.000     6366   Array#include?
  0.02      0.242     0.009     0.000     0.233     1088   BinData::DSLMixin::DSLFieldValidator#validate_field
  0.02      0.235     0.009     0.000     0.226     1299  *BinData::SanitizedParameters#initialize
  0.02      0.044     0.009     0.000     0.035     1123   Gem::Dependency#hash
  0.01      0.009     0.009     0.000     0.000     3304   Gem::Dependency#type
  0.01      0.694     0.008     0.000     0.685     1088  *BinData::DSLMixin::DSLParser#parse_and_append_field
  0.01      0.008     0.008     0.000     0.000     9124   Symbol#==
  0.01      0.008     0.008     0.000     0.000     5663   Kernel#is_a?
  0.01      0.008     0.008     0.000     0.000      724   IO#set_encoding
  0.01      0.032     0.008     0.000     0.024      535   Enumerable#sort_by
  0.01      0.745     0.008     0.000     0.737     1523  *BinData::DSLMixin#method_missing
  0.01      0.008     0.008     0.000     0.000     3165   Module#method_added
  0.01      0.013     0.008     0.000     0.005     1483   BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
